,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
107731,Muscogee County,GA,DeKalb County,GA,254,5722,5722000,1617,2016,2017,inflow,DeKalb County-Muscogee County-GA-1617,"Muscogee County, GA"
107732,Shelby County,TN,DeKalb County,GA,259,7508,7508000,1617,2016,2017,inflow,DeKalb County-Shelby County-TN-1617,"Shelby County, TN"
107733,Richmond County,GA,DeKalb County,GA,260,4954,4954000,1617,2016,2017,inflow,DeKalb County-Richmond County-GA-1617,"Richmond County, GA"
107734,Palm Beach County,FL,DeKalb County,GA,268,7382,7382000,1617,2016,2017,inflow,DeKalb County-Palm Beach County-FL-1617,"Palm Beach County, FL"
107735,Bibb County,GA,DeKalb County,GA,240,5439,5439000,1617,2016,2017,inflow,DeKalb County-Bibb County-GA-1617,"Bibb County, GA"
107736,Philadelphia County,PA,DeKalb County,GA,238,8071,8071000,1617,2016,2017,inflow,DeKalb County-Philadelphia County-PA-1617,"Philadelphia County, PA"
107737,Walton County,GA,DeKalb County,GA,250,5875,5875000,1617,2016,2017,inflow,DeKalb County-Walton County-GA-1617,"Walton County, GA"
107738,Maricopa County,AZ,DeKalb County,GA,229,8440,8440000,1617,2016,2017,inflow,DeKalb County-Maricopa County-AZ-1617,"Maricopa County, AZ"
107739,Wake County,NC,DeKalb County,GA,219,7794,7794000,1617,2016,2017,inflow,DeKalb County-Wake County-NC-1617,"Wake County, NC"
107740,Bronx County,NY,DeKalb County,GA,234,3655,3655000,1617,2016,2017,inflow,DeKalb County-Bronx County-NY-1617,"Bronx County, NY"
107741,Franklin County,OH,DeKalb County,GA,204,7484,7484000,1617,2016,2017,inflow,DeKalb County-Franklin County-OH-1617,"Franklin County, OH"
107742,Montgomery County,MD,DeKalb County,GA,219,9490,9490000,1617,2016,2017,inflow,DeKalb County-Montgomery County-MD-1617,"Montgomery County, MD"
107743,King County,WA,DeKalb County,GA,207,10834,10834000,1617,2016,2017,inflow,DeKalb County-King County-WA-1617,"King County, WA"
107744,Coweta County,GA,DeKalb County,GA,190,6269,6269000,1617,2016,2017,inflow,DeKalb County-Coweta County-GA-1617,"Coweta County, GA"
107745,Richland County,SC,DeKalb County,GA,179,6575,6575000,1617,2016,2017,inflow,DeKalb County-Richland County-SC-1617,"Richland County, SC"
107746,Prince George's County,MD,DeKalb County,GA,171,4129,4129000,1617,2016,2017,inflow,DeKalb County-Prince George's County-MD-1617,"Prince George's County, MD"
107747,Paulding County,GA,DeKalb County,GA,178,4520,4520000,1617,2016,2017,inflow,DeKalb County-Paulding County-GA-1617,"Paulding County, GA"
107748,Leon County,FL,DeKalb County,GA,151,3544,3544000,1617,2016,2017,inflow,DeKalb County-Leon County-FL-1617,"Leon County, FL"
107749,Alameda County,CA,DeKalb County,GA,149,7297,7297000,1617,2016,2017,inflow,DeKalb County-Alameda County-CA-1617,"Alameda County, CA"
107750,Wayne County,MI,DeKalb County,GA,178,4457,4457000,1617,2016,2017,inflow,DeKalb County-Wayne County-MI-1617,"Wayne County, MI"
107751,Fairfax County,VA,DeKalb County,GA,171,7363,7363000,1617,2016,2017,inflow,DeKalb County-Fairfax County-VA-1617,"Fairfax County, VA"
107752,Dougherty County,GA,DeKalb County,GA,165,2311,2311000,1617,2016,2017,inflow,DeKalb County-Dougherty County-GA-1617,"Dougherty County, GA"
107753,Middlesex County,MA,DeKalb County,GA,150,7045,7045000,1617,2016,2017,inflow,DeKalb County-Middlesex County-MA-1617,"Middlesex County, MA"
107754,Orleans Parish,LA,DeKalb County,GA,139,3551,3551000,1617,2016,2017,inflow,DeKalb County-Orleans Parish-LA-1617,"Orleans Parish, LA"
107755,Charleston County,SC,DeKalb County,GA,152,4841,4841000,1617,2016,2017,inflow,DeKalb County-Charleston County-SC-1617,"Charleston County, SC"
107756,Durham County,NC,DeKalb County,GA,147,5949,5949000,1617,2016,2017,inflow,DeKalb County-Durham County-NC-1617,"Durham County, NC"
107757,San Diego County,CA,DeKalb County,GA,160,5608,5608000,1617,2016,2017,inflow,DeKalb County-San Diego County-CA-1617,"San Diego County, CA"
107758,Suffolk County,MA,DeKalb County,GA,128,5756,5756000,1617,2016,2017,inflow,DeKalb County-Suffolk County-MA-1617,"Suffolk County, MA"
107759,Alachua County,FL,DeKalb County,GA,111,3554,3554000,1617,2016,2017,inflow,DeKalb County-Alachua County-FL-1617,"Alachua County, FL"
107760,Oakland County,MI,DeKalb County,GA,160,5508,5508000,1617,2016,2017,inflow,DeKalb County-Oakland County-MI-1617,"Oakland County, MI"
107761,Pinellas County,FL,DeKalb County,GA,138,4271,4271000,1617,2016,2017,inflow,DeKalb County-Pinellas County-FL-1617,"Pinellas County, FL"
107762,Hamilton County,TN,DeKalb County,GA,136,5059,5059000,1617,2016,2017,inflow,DeKalb County-Hamilton County-TN-1617,"Hamilton County, TN"
107763,Montgomery County,AL,DeKalb County,GA,130,3259,3259000,1617,2016,2017,inflow,DeKalb County-Montgomery County-AL-1617,"Montgomery County, AL"
107764,Baltimore city,MD,DeKalb County,GA,125,4378,4378000,1617,2016,2017,inflow,DeKalb County-Baltimore city-MD-1617,"Baltimore city, MD"
107765,Essex County,NJ,DeKalb County,GA,128,3054,3054000,1617,2016,2017,inflow,DeKalb County-Essex County-NJ-1617,"Essex County, NJ"
107766,Carroll County,GA,DeKalb County,GA,119,2222,2222000,1617,2016,2017,inflow,DeKalb County-Carroll County-GA-1617,"Carroll County, GA"
107767,Cuyahoga County,OH,DeKalb County,GA,119,3341,3341000,1617,2016,2017,inflow,DeKalb County-Cuyahoga County-OH-1617,"Cuyahoga County, OH"
107768,Clark County,NV,DeKalb County,GA,128,2887,2887000,1617,2016,2017,inflow,DeKalb County-Clark County-NV-1617,"Clark County, NV"
107769,Houston County,GA,DeKalb County,GA,111,2780,2780000,1617,2016,2017,inflow,DeKalb County-Houston County-GA-1617,"Houston County, GA"
107770,Greenville County,SC,DeKalb County,GA,104,3600,3600000,1617,2016,2017,inflow,DeKalb County-Greenville County-SC-1617,"Greenville County, SC"
107771,Barrow County,GA,DeKalb County,GA,132,2842,2842000,1617,2016,2017,inflow,DeKalb County-Barrow County-GA-1617,"Barrow County, GA"
107772,Jefferson County,KY,DeKalb County,GA,129,3962,3962000,1617,2016,2017,inflow,DeKalb County-Jefferson County-KY-1617,"Jefferson County, KY"
107773,Allegheny County,PA,DeKalb County,GA,114,4120,4120000,1617,2016,2017,inflow,DeKalb County-Allegheny County-PA-1617,"Allegheny County, PA"
107774,Arlington County,VA,DeKalb County,GA,93,5740,5740000,1617,2016,2017,inflow,DeKalb County-Arlington County-VA-1617,"Arlington County, VA"
107775,Madison County,AL,DeKalb County,GA,103,3518,3518000,1617,2016,2017,inflow,DeKalb County-Madison County-AL-1617,"Madison County, AL"
107776,Mobile County,AL,DeKalb County,GA,134,1661,1661000,1617,2016,2017,inflow,DeKalb County-Mobile County-AL-1617,"Mobile County, AL"
107777,Marion County,IN,DeKalb County,GA,105,2678,2678000,1617,2016,2017,inflow,DeKalb County-Marion County-IN-1617,"Marion County, IN"
107778,Hamilton County,OH,DeKalb County,GA,115,4458,4458000,1617,2016,2017,inflow,DeKalb County-Hamilton County-OH-1617,"Hamilton County, OH"
107779,Bexar County,TX,DeKalb County,GA,130,6044,6044000,1617,2016,2017,inflow,DeKalb County-Bexar County-TX-1617,"Bexar County, TX"
107780,St. Louis County,MO,DeKalb County,GA,128,5428,5428000,1617,2016,2017,inflow,DeKalb County-St. Louis County-MO-1617,"St. Louis County, MO"
107781,Tarrant County,TX,DeKalb County,GA,132,4488,4488000,1617,2016,2017,inflow,DeKalb County-Tarrant County-TX-1617,"Tarrant County, TX"
107782,Knox County,TN,DeKalb County,GA,96,3353,3353000,1617,2016,2017,inflow,DeKalb County-Knox County-TN-1617,"Knox County, TN"
107783,San Francisco County,CA,DeKalb County,GA,104,8959,8959000,1617,2016,2017,inflow,DeKalb County-San Francisco County-CA-1617,"San Francisco County, CA"
107784,Guilford County,NC,DeKalb County,GA,120,3294,3294000,1617,2016,2017,inflow,DeKalb County-Guilford County-NC-1617,"Guilford County, NC"
107785,Columbia County,GA,DeKalb County,GA,107,3654,3654000,1617,2016,2017,inflow,DeKalb County-Columbia County-GA-1617,"Columbia County, GA"
107786,Monroe County,NY,DeKalb County,GA,107,2853,2853000,1617,2016,2017,inflow,DeKalb County-Monroe County-NY-1617,"Monroe County, NY"
107787,Suffolk County,NY,DeKalb County,GA,107,4988,4988000,1617,2016,2017,inflow,DeKalb County-Suffolk County-NY-1617,"Suffolk County, NY"
107788,Santa Clara County,CA,DeKalb County,GA,117,6598,6598000,1617,2016,2017,inflow,DeKalb County-Santa Clara County-CA-1617,"Santa Clara County, CA"
107789,Hartford County,CT,DeKalb County,GA,113,3149,3149000,1617,2016,2017,inflow,DeKalb County-Hartford County-CT-1617,"Hartford County, CT"
107790,Nassau County,NY,DeKalb County,GA,110,3294,3294000,1617,2016,2017,inflow,DeKalb County-Nassau County-NY-1617,"Nassau County, NY"
107791,Westchester County,NY,DeKalb County,GA,133,5805,5805000,1617,2016,2017,inflow,DeKalb County-Westchester County-NY-1617,"Westchester County, NY"
107792,Milwaukee County,WI,DeKalb County,GA,124,2584,2584000,1617,2016,2017,inflow,DeKalb County-Milwaukee County-WI-1617,"Milwaukee County, WI"
107793,Denver County,CO,DeKalb County,GA,90,4029,4029000,1617,2016,2017,inflow,DeKalb County-Denver County-CO-1617,"Denver County, CO"
107794,Bulloch County,GA,DeKalb County,GA,88,1466,1466000,1617,2016,2017,inflow,DeKalb County-Bulloch County-GA-1617,"Bulloch County, GA"
107795,Middlesex County,NJ,DeKalb County,GA,101,3269,3269000,1617,2016,2017,inflow,DeKalb County-Middlesex County-NJ-1617,"Middlesex County, NJ"
107796,Jefferson Parish,LA,DeKalb County,GA,97,2362,2362000,1617,2016,2017,inflow,DeKalb County-Jefferson Parish-LA-1617,"Jefferson Parish, LA"
107797,Lowndes County,GA,DeKalb County,GA,85,2090,2090000,1617,2016,2017,inflow,DeKalb County-Lowndes County-GA-1617,"Lowndes County, GA"
107798,East Baton Rouge Parish,LA,DeKalb County,GA,83,2260,2260000,1617,2016,2017,inflow,DeKalb County-East Baton Rouge Parish-LA-1617,"East Baton Rouge Parish, LA"
107799,Hudson County,NJ,DeKalb County,GA,93,5678,5678000,1617,2016,2017,inflow,DeKalb County-Hudson County-NJ-1617,"Hudson County, NJ"
107800,Baltimore County,MD,DeKalb County,GA,101,3594,3594000,1617,2016,2017,inflow,DeKalb County-Baltimore County-MD-1617,"Baltimore County, MD"
107801,Hennepin County,MN,DeKalb County,GA,83,2831,2831000,1617,2016,2017,inflow,DeKalb County-Hennepin County-MN-1617,"Hennepin County, MN"
107802,Tuscaloosa County,AL,DeKalb County,GA,73,1799,1799000,1617,2016,2017,inflow,DeKalb County-Tuscaloosa County-AL-1617,"Tuscaloosa County, AL"
107803,Orange County,CA,DeKalb County,GA,77,3931,3931000,1617,2016,2017,inflow,DeKalb County-Orange County-CA-1617,"Orange County, CA"
107804,Fairfield County,CT,DeKalb County,GA,91,3786,3786000,1617,2016,2017,inflow,DeKalb County-Fairfield County-CT-1617,"Fairfield County, CT"
107805,Cumberland County,NC,DeKalb County,GA,95,2155,2155000,1617,2016,2017,inflow,DeKalb County-Cumberland County-NC-1617,"Cumberland County, NC"
107806,Lexington County,SC,DeKalb County,GA,84,2363,2363000,1617,2016,2017,inflow,DeKalb County-Lexington County-SC-1617,"Lexington County, SC"
107807,Buncombe County,NC,DeKalb County,GA,65,1910,1910000,1617,2016,2017,inflow,DeKalb County-Buncombe County-NC-1617,"Buncombe County, NC"
107808,Seminole County,FL,DeKalb County,GA,79,2610,2610000,1617,2016,2017,inflow,DeKalb County-Seminole County-FL-1617,"Seminole County, FL"
107809,Bartow County,GA,DeKalb County,GA,85,2594,2594000,1617,2016,2017,inflow,DeKalb County-Bartow County-GA-1617,"Bartow County, GA"
107810,Hinds County,MS,DeKalb County,GA,84,1283,1283000,1617,2016,2017,inflow,DeKalb County-Hinds County-MS-1617,"Hinds County, MS"
107811,Erie County,NY,DeKalb County,GA,83,1889,1889000,1617,2016,2017,inflow,DeKalb County-Erie County-NY-1617,"Erie County, NY"
107812,Forsyth County,NC,DeKalb County,GA,63,2399,2399000,1617,2016,2017,inflow,DeKalb County-Forsyth County-NC-1617,"Forsyth County, NC"
107813,Glynn County,GA,DeKalb County,GA,78,1931,1931000,1617,2016,2017,inflow,DeKalb County-Glynn County-GA-1617,"Glynn County, GA"
107814,Lee County,AL,DeKalb County,GA,68,1627,1627000,1617,2016,2017,inflow,DeKalb County-Lee County-AL-1617,"Lee County, AL"
107815,Sacramento County,CA,DeKalb County,GA,90,2349,2349000,1617,2016,2017,inflow,DeKalb County-Sacramento County-CA-1617,"Sacramento County, CA"
107816,Escambia County,FL,DeKalb County,GA,81,2172,2172000,1617,2016,2017,inflow,DeKalb County-Escambia County-FL-1617,"Escambia County, FL"
107817,Jackson County,MO,DeKalb County,GA,79,1700,1700000,1617,2016,2017,inflow,DeKalb County-Jackson County-MO-1617,"Jackson County, MO"
107818,Collin County,TX,DeKalb County,GA,83,3274,3274000,1617,2016,2017,inflow,DeKalb County-Collin County-TX-1617,"Collin County, TX"
107819,Pulaski County,AR,DeKalb County,GA,77,2831,2831000,1617,2016,2017,inflow,DeKalb County-Pulaski County-AR-1617,"Pulaski County, AR"
107820,Brevard County,FL,DeKalb County,GA,68,1325,1325000,1617,2016,2017,inflow,DeKalb County-Brevard County-FL-1617,"Brevard County, FL"
107821,Lee County,FL,DeKalb County,GA,74,2423,2423000,1617,2016,2017,inflow,DeKalb County-Lee County-FL-1617,"Lee County, FL"
107822,Alexandria city,VA,DeKalb County,GA,65,3652,3652000,1617,2016,2017,inflow,DeKalb County-Alexandria city-VA-1617,"Alexandria city, VA"
107823,Norfolk County,MA,DeKalb County,GA,78,4758,4758000,1617,2016,2017,inflow,DeKalb County-Norfolk County-MA-1617,"Norfolk County, MA"
107824,Orange County,NC,DeKalb County,GA,65,2482,2482000,1617,2016,2017,inflow,DeKalb County-Orange County-NC-1617,"Orange County, NC"
107825,Beaufort County,SC,DeKalb County,GA,75,3044,3044000,1617,2016,2017,inflow,DeKalb County-Beaufort County-SC-1617,"Beaufort County, SC"
107826,Volusia County,FL,DeKalb County,GA,63,1511,1511000,1617,2016,2017,inflow,DeKalb County-Volusia County-FL-1617,"Volusia County, FL"
107827,Spalding County,GA,DeKalb County,GA,68,2296,2296000,1617,2016,2017,inflow,DeKalb County-Spalding County-GA-1617,"Spalding County, GA"
107828,Multnomah County,OR,DeKalb County,GA,70,3101,3101000,1617,2016,2017,inflow,DeKalb County-Multnomah County-OR-1617,"Multnomah County, OR"
107830,Richmond city,VA,DeKalb County,GA,61,1832,1832000,1617,2016,2017,inflow,DeKalb County-Richmond city-VA-1617,"Richmond city, VA"
107831,San Bernardino County,CA,DeKalb County,GA,72,1517,1517000,1617,2016,2017,inflow,DeKalb County-San Bernardino County-CA-1617,"San Bernardino County, CA"
107832,Bergen County,NJ,DeKalb County,GA,66,2935,2935000,1617,2016,2017,inflow,DeKalb County-Bergen County-NJ-1617,"Bergen County, NJ"
107833,Henrico County,VA,DeKalb County,GA,64,2425,2425000,1617,2016,2017,inflow,DeKalb County-Henrico County-VA-1617,"Henrico County, VA"
107834,New Castle County,DE,DeKalb County,GA,71,2094,2094000,1617,2016,2017,inflow,DeKalb County-New Castle County-DE-1617,"New Castle County, DE"
107835,Polk County,FL,DeKalb County,GA,59,1295,1295000,1617,2016,2017,inflow,DeKalb County-Polk County-FL-1617,"Polk County, FL"
107836,Montgomery County,PA,DeKalb County,GA,53,2135,2135000,1617,2016,2017,inflow,DeKalb County-Montgomery County-PA-1617,"Montgomery County, PA"
107837,New Haven County,CT,DeKalb County,GA,70,2279,2279000,1617,2016,2017,inflow,DeKalb County-New Haven County-CT-1617,"New Haven County, CT"
107838,Baldwin County,GA,DeKalb County,GA,63,1681,1681000,1617,2016,2017,inflow,DeKalb County-Baldwin County-GA-1617,"Baldwin County, GA"
107839,Washtenaw County,MI,DeKalb County,GA,65,2206,2206000,1617,2016,2017,inflow,DeKalb County-Washtenaw County-MI-1617,"Washtenaw County, MI"
107840,Lake County,IL,DeKalb County,GA,72,2355,2355000,1617,2016,2017,inflow,DeKalb County-Lake County-IL-1617,"Lake County, IL"
107841,Lake County,IN,DeKalb County,GA,60,1166,1166000,1617,2016,2017,inflow,DeKalb County-Lake County-IN-1617,"Lake County, IN"
107842,Salt Lake County,UT,DeKalb County,GA,57,2000,2000000,1617,2016,2017,inflow,DeKalb County-Salt Lake County-UT-1617,"Salt Lake County, UT"
107843,Norfolk city,VA,DeKalb County,GA,63,1467,1467000,1617,2016,2017,inflow,DeKalb County-Norfolk city-VA-1617,"Norfolk city, VA"
107844,Shelby County,AL,DeKalb County,GA,61,2146,2146000,1617,2016,2017,inflow,DeKalb County-Shelby County-AL-1617,"Shelby County, AL"
107845,DuPage County,IL,DeKalb County,GA,57,2572,2572000,1617,2016,2017,inflow,DeKalb County-DuPage County-IL-1617,"DuPage County, IL"
107846,Contra Costa County,CA,DeKalb County,GA,63,2921,2921000,1617,2016,2017,inflow,DeKalb County-Contra Costa County-CA-1617,"Contra Costa County, CA"
107847,Douglas County,NE,DeKalb County,GA,70,2679,2679000,1617,2016,2017,inflow,DeKalb County-Douglas County-NE-1617,"Douglas County, NE"
107848,Denton County,TX,DeKalb County,GA,78,3736,3736000,1617,2016,2017,inflow,DeKalb County-Denton County-TX-1617,"Denton County, TX"
107849,Liberty County,GA,DeKalb County,GA,57,1099,1099000,1617,2016,2017,inflow,DeKalb County-Liberty County-GA-1617,"Liberty County, GA"
107850,Fayette County,KY,DeKalb County,GA,44,1334,1334000,1617,2016,2017,inflow,DeKalb County-Fayette County-KY-1617,"Fayette County, KY"
107851,Riverside County,CA,DeKalb County,GA,60,1646,1646000,1617,2016,2017,inflow,DeKalb County-Riverside County-CA-1617,"Riverside County, CA"
107852,Troup County,GA,DeKalb County,GA,63,940,940000,1617,2016,2017,inflow,DeKalb County-Troup County-GA-1617,"Troup County, GA"
107853,Honolulu County,HI,DeKalb County,GA,48,1856,1856000,1617,2016,2017,inflow,DeKalb County-Honolulu County-HI-1617,"Honolulu County, HI"
107854,Kent County,MI,DeKalb County,GA,62,1096,1096000,1617,2016,2017,inflow,DeKalb County-Kent County-MI-1617,"Kent County, MI"
107855,Arapahoe County,CO,DeKalb County,GA,54,1753,1753000,1617,2016,2017,inflow,DeKalb County-Arapahoe County-CO-1617,"Arapahoe County, CO"
107856,Montgomery County,OH,DeKalb County,GA,55,780,780000,1617,2016,2017,inflow,DeKalb County-Montgomery County-OH-1617,"Montgomery County, OH"
107857,Providence County,RI,DeKalb County,GA,48,1247,1247000,1617,2016,2017,inflow,DeKalb County-Providence County-RI-1617,"Providence County, RI"
107858,El Paso County,CO,DeKalb County,GA,49,1820,1820000,1617,2016,2017,inflow,DeKalb County-El Paso County-CO-1617,"El Paso County, CO"
107859,Floyd County,GA,DeKalb County,GA,47,1449,1449000,1617,2016,2017,inflow,DeKalb County-Floyd County-GA-1617,"Floyd County, GA"
107860,St. Louis city,MO,DeKalb County,GA,43,1453,1453000,1617,2016,2017,inflow,DeKalb County-St. Louis city-MO-1617,"St. Louis city, MO"
107861,Virginia Beach city,VA,DeKalb County,GA,49,961,961000,1617,2016,2017,inflow,DeKalb County-Virginia Beach city-VA-1617,"Virginia Beach city, VA"
107862,Manatee County,FL,DeKalb County,GA,52,1533,1533000,1617,2016,2017,inflow,DeKalb County-Manatee County-FL-1617,"Manatee County, FL"
107863,St. Lucie County,FL,DeKalb County,GA,60,662,662000,1617,2016,2017,inflow,DeKalb County-St. Lucie County-FL-1617,"St. Lucie County, FL"
107864,Jackson County,GA,DeKalb County,GA,50,1802,1802000,1617,2016,2017,inflow,DeKalb County-Jackson County-GA-1617,"Jackson County, GA"
107865,Will County,IL,DeKalb County,GA,59,1827,1827000,1617,2016,2017,inflow,DeKalb County-Will County-IL-1617,"Will County, IL"
107866,Ramsey County,MN,DeKalb County,GA,56,1229,1229000,1617,2016,2017,inflow,DeKalb County-Ramsey County-MN-1617,"Ramsey County, MN"
107867,New Hanover County,NC,DeKalb County,GA,46,1564,1564000,1617,2016,2017,inflow,DeKalb County-New Hanover County-NC-1617,"New Hanover County, NC"
107868,Dane County,WI,DeKalb County,GA,54,1960,1960000,1617,2016,2017,inflow,DeKalb County-Dane County-WI-1617,"Dane County, WI"
107869,Pima County,AZ,DeKalb County,GA,45,1241,1241000,1617,2016,2017,inflow,DeKalb County-Pima County-AZ-1617,"Pima County, AZ"
107870,Newport News city,VA,DeKalb County,GA,69,653,653000,1617,2016,2017,inflow,DeKalb County-Newport News city-VA-1617,"Newport News city, VA"
107871,Sarasota County,FL,DeKalb County,GA,42,1657,1657000,1617,2016,2017,inflow,DeKalb County-Sarasota County-FL-1617,"Sarasota County, FL"
107872,Union County,NJ,DeKalb County,GA,47,1212,1212000,1617,2016,2017,inflow,DeKalb County-Union County-NJ-1617,"Union County, NJ"
107873,Dorchester County,SC,DeKalb County,GA,51,850,850000,1617,2016,2017,inflow,DeKalb County-Dorchester County-SC-1617,"Dorchester County, SC"
107874,Onondaga County,NY,DeKalb County,GA,46,813,813000,1617,2016,2017,inflow,DeKalb County-Onondaga County-NY-1617,"Onondaga County, NY"
107875,Tulsa County,OK,DeKalb County,GA,38,1146,1146000,1617,2016,2017,inflow,DeKalb County-Tulsa County-OK-1617,"Tulsa County, OK"
107876,Loudoun County,VA,DeKalb County,GA,48,2340,2340000,1617,2016,2017,inflow,DeKalb County-Loudoun County-VA-1617,"Loudoun County, VA"
107877,Marion County,FL,DeKalb County,GA,50,907,907000,1617,2016,2017,inflow,DeKalb County-Marion County-FL-1617,"Marion County, FL"
107878,Oklahoma County,OK,DeKalb County,GA,39,831,831000,1617,2016,2017,inflow,DeKalb County-Oklahoma County-OK-1617,"Oklahoma County, OK"
107879,Baldwin County,AL,DeKalb County,GA,37,1208,1208000,1617,2016,2017,inflow,DeKalb County-Baldwin County-AL-1617,"Baldwin County, AL"
107880,Osceola County,FL,DeKalb County,GA,40,1011,1011000,1617,2016,2017,inflow,DeKalb County-Osceola County-FL-1617,"Osceola County, FL"
107881,Dawson County,GA,DeKalb County,GA,32,885,885000,1617,2016,2017,inflow,DeKalb County-Dawson County-GA-1617,"Dawson County, GA"
107882,Anne Arundel County,MD,DeKalb County,GA,38,2004,2004000,1617,2016,2017,inflow,DeKalb County-Anne Arundel County-MD-1617,"Anne Arundel County, MD"
107883,Mercer County,NJ,DeKalb County,GA,42,1192,1192000,1617,2016,2017,inflow,DeKalb County-Mercer County-NJ-1617,"Mercer County, NJ"
107884,Bernalillo County,NM,DeKalb County,GA,38,1205,1205000,1617,2016,2017,inflow,DeKalb County-Bernalillo County-NM-1617,"Bernalillo County, NM"
107885,Aiken County,SC,DeKalb County,GA,43,1055,1055000,1617,2016,2017,inflow,DeKalb County-Aiken County-SC-1617,"Aiken County, SC"
107886,Fort Bend County,TX,DeKalb County,GA,47,1966,1966000,1617,2016,2017,inflow,DeKalb County-Fort Bend County-TX-1617,"Fort Bend County, TX"
107887,Pierce County,WA,DeKalb County,GA,45,864,864000,1617,2016,2017,inflow,DeKalb County-Pierce County-WA-1617,"Pierce County, WA"
107888,Harrison County,MS,DeKalb County,GA,38,993,993000,1617,2016,2017,inflow,DeKalb County-Harrison County-MS-1617,"Harrison County, MS"
107889,Monmouth County,NJ,DeKalb County,GA,37,1501,1501000,1617,2016,2017,inflow,DeKalb County-Monmouth County-NJ-1617,"Monmouth County, NJ"
107890,Passaic County,NJ,DeKalb County,GA,41,1359,1359000,1617,2016,2017,inflow,DeKalb County-Passaic County-NJ-1617,"Passaic County, NJ"
107891,Chester County,PA,DeKalb County,GA,46,2911,2911000,1617,2016,2017,inflow,DeKalb County-Chester County-PA-1617,"Chester County, PA"
107892,El Paso County,TX,DeKalb County,GA,37,890,890000,1617,2016,2017,inflow,DeKalb County-El Paso County-TX-1617,"El Paso County, TX"
107893,Chesterfield County,VA,DeKalb County,GA,33,965,965000,1617,2016,2017,inflow,DeKalb County-Chesterfield County-VA-1617,"Chesterfield County, VA"
107894,Prince William County,VA,DeKalb County,GA,31,1626,1626000,1617,2016,2017,inflow,DeKalb County-Prince William County-VA-1617,"Prince William County, VA"
107895,Houston County,AL,DeKalb County,GA,36,574,574000,1617,2016,2017,inflow,DeKalb County-Houston County-AL-1617,"Houston County, AL"
107896,Boulder County,CO,DeKalb County,GA,27,772,772000,1617,2016,2017,inflow,DeKalb County-Boulder County-CO-1617,"Boulder County, CO"
107897,Champaign County,IL,DeKalb County,GA,35,1387,1387000,1617,2016,2017,inflow,DeKalb County-Champaign County-IL-1617,"Champaign County, IL"
107898,Peoria County,IL,DeKalb County,GA,37,948,948000,1617,2016,2017,inflow,DeKalb County-Peoria County-IL-1617,"Peoria County, IL"
107899,Lafayette Parish,LA,DeKalb County,GA,34,523,523000,1617,2016,2017,inflow,DeKalb County-Lafayette Parish-LA-1617,"Lafayette Parish, LA"
107900,Genesee County,MI,DeKalb County,GA,43,374,374000,1617,2016,2017,inflow,DeKalb County-Genesee County-MI-1617,"Genesee County, MI"
107901,Lucas County,OH,DeKalb County,GA,30,793,793000,1617,2016,2017,inflow,DeKalb County-Lucas County-OH-1617,"Lucas County, OH"
107902,Delaware County,PA,DeKalb County,GA,44,1465,1465000,1617,2016,2017,inflow,DeKalb County-Delaware County-PA-1617,"Delaware County, PA"
107903,Spartanburg County,SC,DeKalb County,GA,41,1012,1012000,1617,2016,2017,inflow,DeKalb County-Spartanburg County-SC-1617,"Spartanburg County, SC"
107904,Montgomery County,TN,DeKalb County,GA,41,515,515000,1617,2016,2017,inflow,DeKalb County-Montgomery County-TN-1617,"Montgomery County, TN"
107978,Douglas County Total Migration-US and Foreign,GA,Douglas County,GA,15797,293631,293631000,1617,2016,2017,inflow,Douglas County total migration-1617,"Douglas County Total Migration-US and Foreign, GA"
107984,Cobb County,GA,Douglas County,GA,3596,60061,60061000,1617,2016,2017,inflow,Douglas County-Cobb County-GA-1617,"Cobb County, GA"
107985,Fulton County,GA,Douglas County,GA,1963,35628,35628000,1617,2016,2017,inflow,Douglas County-Fulton County-GA-1617,"Fulton County, GA"
107986,Paulding County,GA,Douglas County,GA,1272,23760,23760000,1617,2016,2017,inflow,Douglas County-Paulding County-GA-1617,"Paulding County, GA"
107987,Carroll County,GA,Douglas County,GA,1124,26202,26202000,1617,2016,2017,inflow,Douglas County-Carroll County-GA-1617,"Carroll County, GA"
107988,DeKalb County,GA,Douglas County,GA,621,11599,11599000,1617,2016,2017,inflow,Douglas County-DeKalb County-GA-1617,"DeKalb County, GA"
107989,Clayton County,GA,Douglas County,GA,451,6553,6553000,1617,2016,2017,inflow,Douglas County-Clayton County-GA-1617,"Clayton County, GA"
107990,Gwinnett County,GA,Douglas County,GA,368,7745,7745000,1617,2016,2017,inflow,Douglas County-Gwinnett County-GA-1617,"Gwinnett County, GA"
107991,Henry County,GA,Douglas County,GA,170,3806,3806000,1617,2016,2017,inflow,Douglas County-Henry County-GA-1617,"Henry County, GA"
107992,Broward County,FL,Douglas County,GA,119,2427,2427000,1617,2016,2017,inflow,Douglas County-Broward County-FL-1617,"Broward County, FL"
107993,Coweta County,GA,Douglas County,GA,103,3476,3476000,1617,2016,2017,inflow,Douglas County-Coweta County-GA-1617,"Coweta County, GA"
107994,Miami-Dade County,FL,Douglas County,GA,89,1425,1425000,1617,2016,2017,inflow,Douglas County-Miami-Dade County-FL-1617,"Miami-Dade County, FL"
