,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2
1,Cherokee County-Cobb County-GA-1516,"Cobb County, GA",1516,2015,2016,4700,171360000,3129,88588000,1571,82772000,Cherokee County,Cherokee County-Cobb County-GA
2,Cherokee County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,2265,97119000,1216,57169000,1049,39950000,Cherokee County,Cherokee County-Fulton County-GA
3,Cherokee County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,658,19359000,401,10005000,257,9354000,Cherokee County,Cherokee County-Gwinnett County-GA
4,Cherokee County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,643,30139000,462,25906000,181,4233000,Cherokee County,Cherokee County-Forsyth County-GA
5,Cherokee County-DeKalb County-GA-1516,"DeKalb County, GA",1516,2015,2016,407,14257000,263,9434000,144,4823000,Cherokee County,Cherokee County-DeKalb County-GA
6,Cherokee County-Bartow County-GA-1516,"Bartow County, GA",1516,2015,2016,461,8917000,709,15448000,-248,-6531000,Cherokee County,Cherokee County-Bartow County-GA
7,Cherokee County-Pickens County-GA-1516,"Pickens County, GA",1516,2015,2016,413,8440000,683,14695000,-270,-6255000,Cherokee County,Cherokee County-Pickens County-GA
8,Cherokee County-Paulding County-GA-1516,"Paulding County, GA",1516,2015,2016,429,10901000,443,11085000,-14,-184000,Cherokee County,Cherokee County-Paulding County-GA
9,Cherokee County-Gilmer County-GA-1516,"Gilmer County, GA",1516,2015,2016,127,3133000,107,2916000,20,217000,Cherokee County,Cherokee County-Gilmer County-GA
10,Cherokee County-Douglas County-GA-1516,"Douglas County, GA",1516,2015,2016,143,3702000,76,1529000,67,2173000,Cherokee County,Cherokee County-Douglas County-GA
11,Cherokee County-Broward County-FL-1516,"Broward County, FL",1516,2015,2016,106,2817000,45,2402000,61,415000,Cherokee County,Cherokee County-Broward County-FL
12,Cherokee County-Henry County-GA-1516,"Henry County, GA",1516,2015,2016,85,2568000,59,1253000,26,1315000,Cherokee County,Cherokee County-Henry County-GA
13,Cherokee County-Palm Beach County-FL-1516,"Palm Beach County, FL",1516,2015,2016,61,1745000,36,1322000,25,423000,Cherokee County,Cherokee County-Palm Beach County-FL
14,Cherokee County-Hall County-GA-1516,"Hall County, GA",1516,2015,2016,55,1630000,118,3781000,-63,-2151000,Cherokee County,Cherokee County-Hall County-GA
15,Cherokee County-Hillsborough County-FL-1516,"Hillsborough County, FL",1516,2015,2016,67,2873000,78,1784000,-11,1089000,Cherokee County,Cherokee County-Hillsborough County-FL
16,Cherokee County-Gordon County-GA-1516,"Gordon County, GA",1516,2015,2016,58,683000,85,1708000,-27,-1025000,Cherokee County,Cherokee County-Gordon County-GA
17,Cherokee County-Chatham County-GA-1516,"Chatham County, GA",1516,2015,2016,69,2039000,31,708000,38,1331000,Cherokee County,Cherokee County-Chatham County-GA
18,Cherokee County-Floyd County-GA-1516,"Floyd County, GA",1516,2015,2016,56,1340000,94,3626000,-38,-2286000,Cherokee County,Cherokee County-Floyd County-GA
19,Cherokee County-Orange County-FL-1516,"Orange County, FL",1516,2015,2016,62,1171000,53,2065000,9,-894000,Cherokee County,Cherokee County-Orange County-FL
20,Cherokee County-Pinellas County-FL-1516,"Pinellas County, FL",1516,2015,2016,54,1600000,54,2216000,0,-616000,Cherokee County,Cherokee County-Pinellas County-FL
21,Cherokee County-Dawson County-GA-1516,"Dawson County, GA",1516,2015,2016,65,1236000,91,2448000,-26,-1212000,Cherokee County,Cherokee County-Dawson County-GA
22,Cherokee County-Maricopa County-AZ-1516,"Maricopa County, AZ",1516,2015,2016,57,1947000,61,1465000,-4,482000,Cherokee County,Cherokee County-Maricopa County-AZ
23,Cherokee County-Carroll County-GA-1516,"Carroll County, GA",1516,2015,2016,50,1299000,64,1024000,-14,275000,Cherokee County,Cherokee County-Carroll County-GA
24,Cherokee County-Clarke County-GA-1516,"Clarke County, GA",1516,2015,2016,40,830000,41,932000,-1,-102000,Cherokee County,Cherokee County-Clarke County-GA
25,Cherokee County-Duval County-FL-1516,"Duval County, FL",1516,2015,2016,40,908000,63,1832000,-23,-924000,Cherokee County,Cherokee County-Duval County-FL
26,Cherokee County-Hamilton County-TN-1516,"Hamilton County, TN",1516,2015,2016,40,1100000,37,1484000,3,-384000,Cherokee County,Cherokee County-Hamilton County-TN
27,Cherokee County-Harris County-TX-1516,"Harris County, TX",1516,2015,2016,46,1680000,59,1408000,-13,272000,Cherokee County,Cherokee County-Harris County-TX
29,Clayton County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,7117,76405000,5871,75446000,1246,959000,Clayton County,Clayton County-Fulton County-GA
30,Clayton County-DeKalb County-GA-1516,"DeKalb County, GA",1516,2015,2016,3241,37714000,2484,31376000,757,6338000,Clayton County,Clayton County-DeKalb County-GA
31,Clayton County-Henry County-GA-1516,"Henry County, GA",1516,2015,2016,2704,38398000,4215,68038000,-1511,-29640000,Clayton County,Clayton County-Henry County-GA
32,Clayton County-Cobb County-GA-1516,"Cobb County, GA",1516,2015,2016,970,11474000,860,13583000,110,-2109000,Clayton County,Clayton County-Cobb County-GA
33,Clayton County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,812,10862000,907,12721000,-95,-1859000,Clayton County,Clayton County-Gwinnett County-GA
34,Clayton County-Fayette County-GA-1516,"Fayette County, GA",1516,2015,2016,510,7866000,951,21455000,-441,-13589000,Clayton County,Clayton County-Fayette County-GA
35,Clayton County-Travis County-TX-1516,"Travis County, TX",1516,2015,2016,410,3496000,90,848000,320,2648000,Clayton County,Clayton County-Travis County-TX
36,Clayton County-Spalding County-GA-1516,"Spalding County, GA",1516,2015,2016,323,3461000,480,5670000,-157,-2209000,Clayton County,Clayton County-Spalding County-GA
37,Clayton County-Douglas County-GA-1516,"Douglas County, GA",1516,2015,2016,259,3897000,280,4058000,-21,-161000,Clayton County,Clayton County-Douglas County-GA
38,Clayton County-Miami-Dade County-FL-1516,"Miami-Dade County, FL",1516,2015,2016,217,3326000,111,1026000,106,2300000,Clayton County,Clayton County-Miami-Dade County-FL
39,Clayton County-Rockdale County-GA-1516,"Rockdale County, GA",1516,2015,2016,203,2603000,247,3444000,-44,-841000,Clayton County,Clayton County-Rockdale County-GA
40,Clayton County-Coweta County-GA-1516,"Coweta County, GA",1516,2015,2016,196,2307000,267,4700000,-71,-2393000,Clayton County,Clayton County-Coweta County-GA
41,Clayton County-Muscogee County-GA-1516,"Muscogee County, GA",1516,2015,2016,181,2261000,80,779000,101,1482000,Clayton County,Clayton County-Muscogee County-GA
42,Clayton County-Kings County-NY-1516,"Kings County, NY",1516,2015,2016,159,1679000,61,672000,98,1007000,Clayton County,Clayton County-Kings County-NY
43,Clayton County-Cook County-IL-1516,"Cook County, IL",1516,2015,2016,163,1688000,97,1174000,66,514000,Clayton County,Clayton County-Cook County-IL
44,Clayton County-Bibb County-GA-1516,"Bibb County, GA",1516,2015,2016,159,1457000,126,1178000,33,279000,Clayton County,Clayton County-Bibb County-GA
45,Clayton County-Los Angeles County-CA-1516,"Los Angeles County, CA",1516,2015,2016,132,2131000,50,923000,82,1208000,Clayton County,Clayton County-Los Angeles County-CA
46,Clayton County-Broward County-FL-1516,"Broward County, FL",1516,2015,2016,149,1858000,92,944000,57,914000,Clayton County,Clayton County-Broward County-FL
47,Clayton County-Newton County-GA-1516,"Newton County, GA",1516,2015,2016,132,1558000,221,3643000,-89,-2085000,Clayton County,Clayton County-Newton County-GA
48,Clayton County-Orange County-FL-1516,"Orange County, FL",1516,2015,2016,122,1198000,74,1141000,48,57000,Clayton County,Clayton County-Orange County-FL
49,Clayton County-Chatham County-GA-1516,"Chatham County, GA",1516,2015,2016,119,1470000,81,1078000,38,392000,Clayton County,Clayton County-Chatham County-GA
50,Clayton County-Shelby County-TN-1516,"Shelby County, TN",1516,2015,2016,106,1408000,47,639000,59,769000,Clayton County,Clayton County-Shelby County-TN
51,Clayton County-Richmond County-GA-1516,"Richmond County, GA",1516,2015,2016,94,965000,58,849000,36,116000,Clayton County,Clayton County-Richmond County-GA
52,Clayton County-Wayne County-MI-1516,"Wayne County, MI",1516,2015,2016,115,1028000,55,389000,60,639000,Clayton County,Clayton County-Wayne County-MI
53,Clayton County-Harris County-TX-1516,"Harris County, TX",1516,2015,2016,92,1164000,108,1436000,-16,-272000,Clayton County,Clayton County-Harris County-TX
54,Clayton County-Duval County-FL-1516,"Duval County, FL",1516,2015,2016,111,904000,90,1194000,21,-290000,Clayton County,Clayton County-Duval County-FL
55,Clayton County-Dougherty County-GA-1516,"Dougherty County, GA",1516,2015,2016,88,1105000,68,445000,20,660000,Clayton County,Clayton County-Dougherty County-GA
56,Clayton County-Houston County-GA-1516,"Houston County, GA",1516,2015,2016,100,894000,77,713000,23,181000,Clayton County,Clayton County-Houston County-GA
57,Clayton County-Hillsborough County-FL-1516,"Hillsborough County, FL",1516,2015,2016,82,1057000,81,1127000,1,-70000,Clayton County,Clayton County-Hillsborough County-FL
58,Clayton County-Paulding County-GA-1516,"Paulding County, GA",1516,2015,2016,68,896000,88,1053000,-20,-157000,Clayton County,Clayton County-Paulding County-GA
59,Clayton County-Mecklenburg County-NC-1516,"Mecklenburg County, NC",1516,2015,2016,65,898000,71,2156000,-6,-1258000,Clayton County,Clayton County-Mecklenburg County-NC
60,Clayton County-Carroll County-GA-1516,"Carroll County, GA",1516,2015,2016,54,856000,80,1281000,-26,-425000,Clayton County,Clayton County-Carroll County-GA
61,Clayton County-Prince George's County-MD-1516,"Prince George's County, MD",1516,2015,2016,53,802000,32,609000,21,193000,Clayton County,Clayton County-Prince George's County-MD
62,Clayton County-Davidson County-TN-1516,"Davidson County, TN",1516,2015,2016,56,660000,34,574000,22,86000,Clayton County,Clayton County-Davidson County-TN
63,Clayton County-Butts County-GA-1516,"Butts County, GA",1516,2015,2016,57,832000,92,1406000,-35,-574000,Clayton County,Clayton County-Butts County-GA
64,Clayton County-Maricopa County-AZ-1516,"Maricopa County, AZ",1516,2015,2016,48,497000,51,149000,-3,348000,Clayton County,Clayton County-Maricopa County-AZ
65,Clayton County-Tarrant County-TX-1516,"Tarrant County, TX",1516,2015,2016,51,498000,45,561000,6,-63000,Clayton County,Clayton County-Tarrant County-TX
67,Cobb County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,8892,349591000,8487,394280000,405,-44689000,Cobb County,Cobb County-Fulton County-GA
68,Cobb County-DeKalb County-GA-1516,"DeKalb County, GA",1516,2015,2016,3608,123557000,3199,115260000,409,8297000,Cobb County,Cobb County-DeKalb County-GA
69,Cobb County-Cherokee County-GA-1516,"Cherokee County, GA",1516,2015,2016,3129,88588000,4700,171360000,-1571,-82772000,Cobb County,Cobb County-Cherokee County-GA
70,Cobb County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,2223,58390000,2418,58574000,-195,-184000,Cobb County,Cobb County-Gwinnett County-GA
71,Cobb County-Paulding County-GA-1516,"Paulding County, GA",1516,2015,2016,2511,64696000,4288,97882000,-1777,-33186000,Cobb County,Cobb County-Paulding County-GA
72,Cobb County-Douglas County-GA-1516,"Douglas County, GA",1516,2015,2016,2071,41114000,2820,42738000,-749,-1624000,Cobb County,Cobb County-Douglas County-GA
73,Cobb County-Clayton County-GA-1516,"Clayton County, GA",1516,2015,2016,860,13583000,970,11474000,-110,2109000,Cobb County,Cobb County-Clayton County-GA
74,Cobb County-Bartow County-GA-1516,"Bartow County, GA",1516,2015,2016,739,15580000,1133,25771000,-394,-10191000,Cobb County,Cobb County-Bartow County-GA
75,Cobb County-Henry County-GA-1516,"Henry County, GA",1516,2015,2016,520,14003000,343,6763000,177,7240000,Cobb County,Cobb County-Henry County-GA
76,Cobb County-Cook County-IL-1516,"Cook County, IL",1516,2015,2016,503,15900000,231,8845000,272,7055000,Cobb County,Cobb County-Cook County-IL
77,Cobb County-Los Angeles County-CA-1516,"Los Angeles County, CA",1516,2015,2016,404,11429000,288,13671000,116,-2242000,Cobb County,Cobb County-Los Angeles County-CA
78,Cobb County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,355,13789000,936,41457000,-581,-27668000,Cobb County,Cobb County-Forsyth County-GA
79,Cobb County-Broward County-FL-1516,"Broward County, FL",1516,2015,2016,359,9186000,250,9352000,109,-166000,Cobb County,Cobb County-Broward County-FL
80,Cobb County-Travis County-TX-1516,"Travis County, TX",1516,2015,2016,367,7198000,217,7738000,150,-540000,Cobb County,Cobb County-Travis County-TX
81,Cobb County-Miami-Dade County-FL-1516,"Miami-Dade County, FL",1516,2015,2016,352,7783000,182,4183000,170,3600000,Cobb County,Cobb County-Miami-Dade County-FL
82,Cobb County-Orange County-FL-1516,"Orange County, FL",1516,2015,2016,307,8056000,220,8211000,87,-155000,Cobb County,Cobb County-Orange County-FL
83,Cobb County-Carroll County-GA-1516,"Carroll County, GA",1516,2015,2016,336,6858000,329,5850000,7,1008000,Cobb County,Cobb County-Carroll County-GA
84,Cobb County-Chatham County-GA-1516,"Chatham County, GA",1516,2015,2016,268,7290000,163,6480000,105,810000,Cobb County,Cobb County-Chatham County-GA
85,Cobb County-Fayette County-GA-1516,"Fayette County, GA",1516,2015,2016,259,10559000,280,9904000,-21,655000,Cobb County,Cobb County-Fayette County-GA
86,Cobb County-Mecklenburg County-NC-1516,"Mecklenburg County, NC",1516,2015,2016,262,9373000,257,10440000,5,-1067000,Cobb County,Cobb County-Mecklenburg County-NC
87,Cobb County-Hillsborough County-FL-1516,"Hillsborough County, FL",1516,2015,2016,263,8652000,344,12309000,-81,-3657000,Cobb County,Cobb County-Hillsborough County-FL
88,Cobb County-Coweta County-GA-1516,"Coweta County, GA",1516,2015,2016,253,16587000,240,7182000,13,9405000,Cobb County,Cobb County-Coweta County-GA
89,Cobb County-Jefferson County-AL-1516,"Jefferson County, AL",1516,2015,2016,255,6923000,164,5335000,91,1588000,Cobb County,Cobb County-Jefferson County-AL
90,Cobb County-Palm Beach County-FL-1516,"Palm Beach County, FL",1516,2015,2016,244,7912000,174,6902000,70,1010000,Cobb County,Cobb County-Palm Beach County-FL
91,Cobb County-Duval County-FL-1516,"Duval County, FL",1516,2015,2016,225,5861000,253,7105000,-28,-1244000,Cobb County,Cobb County-Duval County-FL
92,Cobb County-Muscogee County-GA-1516,"Muscogee County, GA",1516,2015,2016,236,5594000,132,2493000,104,3101000,Cobb County,Cobb County-Muscogee County-GA
93,Cobb County-Harris County-TX-1516,"Harris County, TX",1516,2015,2016,253,8236000,284,9762000,-31,-1526000,Cobb County,Cobb County-Harris County-TX
94,Cobb County-Kings County-NY-1516,"Kings County, NY",1516,2015,2016,215,4472000,76,3184000,139,1288000,Cobb County,Cobb County-Kings County-NY
95,Cobb County-Shelby County-TN-1516,"Shelby County, TN",1516,2015,2016,207,6250000,98,3007000,109,3243000,Cobb County,Cobb County-Shelby County-TN
96,Cobb County-Clarke County-GA-1516,"Clarke County, GA",1516,2015,2016,144,3044000,126,3155000,18,-111000,Cobb County,Cobb County-Clarke County-GA
97,Cobb County-Davidson County-TN-1516,"Davidson County, TN",1516,2015,2016,161,4522000,159,5460000,2,-938000,Cobb County,Cobb County-Davidson County-TN
98,Cobb County-Bibb County-GA-1516,"Bibb County, GA",1516,2015,2016,177,4806000,109,2265000,68,2541000,Cobb County,Cobb County-Bibb County-GA
99,Cobb County-Rockdale County-GA-1516,"Rockdale County, GA",1516,2015,2016,179,4065000,149,2985000,30,1080000,Cobb County,Cobb County-Rockdale County-GA
100,Cobb County-Queens County-NY-1516,"Queens County, NY",1516,2015,2016,183,5000000,56,1516000,127,3484000,Cobb County,Cobb County-Queens County-NY
101,Cobb County-Dallas County-TX-1516,"Dallas County, TX",1516,2015,2016,170,6773000,223,16015000,-53,-9242000,Cobb County,Cobb County-Dallas County-TX
102,Cobb County-Maricopa County-AZ-1516,"Maricopa County, AZ",1516,2015,2016,194,6740000,240,8227000,-46,-1487000,Cobb County,Cobb County-Maricopa County-AZ
103,Cobb County-Hall County-GA-1516,"Hall County, GA",1516,2015,2016,144,4559000,181,7666000,-37,-3107000,Cobb County,Cobb County-Hall County-GA
104,Cobb County-Floyd County-GA-1516,"Floyd County, GA",1516,2015,2016,163,3929000,166,3923000,-3,6000,Cobb County,Cobb County-Floyd County-GA
105,Cobb County-San Diego County-CA-1516,"San Diego County, CA",1516,2015,2016,153,4404000,154,4372000,-1,32000,Cobb County,Cobb County-San Diego County-CA
106,Cobb County-Wake County-NC-1516,"Wake County, NC",1516,2015,2016,165,5997000,187,8129000,-22,-2132000,Cobb County,Cobb County-Wake County-NC
107,Cobb County-Greenville County-SC-1516,"Greenville County, SC",1516,2015,2016,144,5156000,141,5907000,3,-751000,Cobb County,Cobb County-Greenville County-SC
108,Cobb County-Newton County-GA-1516,"Newton County, GA",1516,2015,2016,146,3441000,128,2417000,18,1024000,Cobb County,Cobb County-Newton County-GA
109,Cobb County-Leon County-FL-1516,"Leon County, FL",1516,2015,2016,130,3467000,49,1627000,81,1840000,Cobb County,Cobb County-Leon County-FL
110,Cobb County-Tarrant County-TX-1516,"Tarrant County, TX",1516,2015,2016,152,6414000,201,7438000,-49,-1024000,Cobb County,Cobb County-Tarrant County-TX
111,Cobb County-Clark County-NV-1516,"Clark County, NV",1516,2015,2016,139,3107000,111,3758000,28,-651000,Cobb County,Cobb County-Clark County-NV
112,Cobb County-Wayne County-MI-1516,"Wayne County, MI",1516,2015,2016,130,3127000,93,1164000,37,1963000,Cobb County,Cobb County-Wayne County-MI
113,Cobb County-Richmond County-GA-1516,"Richmond County, GA",1516,2015,2016,117,2916000,93,1361000,24,1555000,Cobb County,Cobb County-Richmond County-GA
114,Cobb County-Bronx County-NY-1516,"Bronx County, NY",1516,2015,2016,114,1681000,35,352000,79,1329000,Cobb County,Cobb County-Bronx County-NY
115,Cobb County-Pinellas County-FL-1516,"Pinellas County, FL",1516,2015,2016,128,3709000,173,7022000,-45,-3313000,Cobb County,Cobb County-Pinellas County-FL
116,Cobb County-Houston County-GA-1516,"Houston County, GA",1516,2015,2016,123,3793000,102,2567000,21,1226000,Cobb County,Cobb County-Houston County-GA
117,Cobb County-Hamilton County-TN-1516,"Hamilton County, TN",1516,2015,2016,119,6789000,164,6940000,-45,-151000,Cobb County,Cobb County-Hamilton County-TN
118,Cobb County-Essex County-NJ-1516,"Essex County, NJ",1516,2015,2016,141,3937000,33,911000,108,3026000,Cobb County,Cobb County-Essex County-NJ
119,Cobb County-St. Louis County-MO-1516,"St. Louis County, MO",1516,2015,2016,116,4288000,50,2282000,66,2006000,Cobb County,Cobb County-St. Louis County-MO
120,Cobb County-Fairfax County-VA-1516,"Fairfax County, VA",1516,2015,2016,141,6856000,107,5583000,34,1273000,Cobb County,Cobb County-Fairfax County-VA
121,Cobb County-Lowndes County-GA-1516,"Lowndes County, GA",1516,2015,2016,102,1744000,47,537000,55,1207000,Cobb County,Cobb County-Lowndes County-GA
122,Cobb County-Richland County-SC-1516,"Richland County, SC",1516,2015,2016,117,3353000,53,1526000,64,1827000,Cobb County,Cobb County-Richland County-SC
123,Cobb County-Philadelphia County-PA-1516,"Philadelphia County, PA",1516,2015,2016,110,3033000,37,843000,73,2190000,Cobb County,Cobb County-Philadelphia County-PA
124,Cobb County-New York County-NY-1516,"New York County, NY",1516,2015,2016,91,5335000,102,6678000,-11,-1343000,Cobb County,Cobb County-New York County-NY
125,Cobb County-Franklin County-OH-1516,"Franklin County, OH",1516,2015,2016,119,3424000,95,2938000,24,486000,Cobb County,Cobb County-Franklin County-OH
126,Cobb County-Marion County-IN-1516,"Marion County, IN",1516,2015,2016,93,2744000,50,730000,43,2014000,Cobb County,Cobb County-Marion County-IN
127,Cobb County-Prince George's County-MD-1516,"Prince George's County, MD",1516,2015,2016,120,2636000,62,1205000,58,1431000,Cobb County,Cobb County-Prince George's County-MD
128,Cobb County-King County-WA-1516,"King County, WA",1516,2015,2016,103,5383000,199,11674000,-96,-6291000,Cobb County,Cobb County-King County-WA
129,Cobb County-Charleston County-SC-1516,"Charleston County, SC",1516,2015,2016,90,3295000,103,4651000,-13,-1356000,Cobb County,Cobb County-Charleston County-SC
130,Cobb County-Montgomery County-AL-1516,"Montgomery County, AL",1516,2015,2016,92,3119000,57,1193000,35,1926000,Cobb County,Cobb County-Montgomery County-AL
131,Cobb County-Cuyahoga County-OH-1516,"Cuyahoga County, OH",1516,2015,2016,92,1932000,83,1743000,9,189000,Cobb County,Cobb County-Cuyahoga County-OH
132,Cobb County-Knox County-TN-1516,"Knox County, TN",1516,2015,2016,99,2700000,63,1996000,36,704000,Cobb County,Cobb County-Knox County-TN
133,Cobb County-Orange County-CA-1516,"Orange County, CA",1516,2015,2016,122,6205000,93,3221000,29,2984000,Cobb County,Cobb County-Orange County-CA
134,Cobb County-Bulloch County-GA-1516,"Bulloch County, GA",1516,2015,2016,68,1329000,41,1300000,27,29000,Cobb County,Cobb County-Bulloch County-GA
135,Cobb County-Gordon County-GA-1516,"Gordon County, GA",1516,2015,2016,81,1845000,85,2856000,-4,-1011000,Cobb County,Cobb County-Gordon County-GA
136,Cobb County-Oakland County-MI-1516,"Oakland County, MI",1516,2015,2016,99,3353000,91,3779000,8,-426000,Cobb County,Cobb County-Oakland County-MI
137,Cobb County-Milwaukee County-WI-1516,"Milwaukee County, WI",1516,2015,2016,117,2413000,36,2773000,81,-360000,Cobb County,Cobb County-Milwaukee County-WI
138,Cobb County-Madison County-AL-1516,"Madison County, AL",1516,2015,2016,89,3080000,80,3082000,9,-2000,Cobb County,Cobb County-Madison County-AL
139,Cobb County-Dougherty County-GA-1516,"Dougherty County, GA",1516,2015,2016,85,1709000,58,1538000,27,171000,Cobb County,Cobb County-Dougherty County-GA
140,Cobb County-Montgomery County-MD-1516,"Montgomery County, MD",1516,2015,2016,85,4730000,121,4684000,-36,46000,Cobb County,Cobb County-Montgomery County-MD
141,Cobb County-Guilford County-NC-1516,"Guilford County, NC",1516,2015,2016,83,2322000,66,2781000,17,-459000,Cobb County,Cobb County-Guilford County-NC
142,Cobb County-Middlesex County-MA-1516,"Middlesex County, MA",1516,2015,2016,110,4827000,52,3894000,58,933000,Cobb County,Cobb County-Middlesex County-MA
143,Cobb County-Suffolk County-NY-1516,"Suffolk County, NY",1516,2015,2016,85,2122000,43,869000,42,1253000,Cobb County,Cobb County-Suffolk County-NY
144,Cobb County-Hamilton County-OH-1516,"Hamilton County, OH",1516,2015,2016,88,3271000,40,864000,48,2407000,Cobb County,Cobb County-Hamilton County-OH
145,Cobb County-Allegheny County-PA-1516,"Allegheny County, PA",1516,2015,2016,97,3794000,85,3428000,12,366000,Cobb County,Cobb County-Allegheny County-PA
146,Cobb County-Shelby County-AL-1516,"Shelby County, AL",1516,2015,2016,93,4514000,43,1854000,50,2660000,Cobb County,Cobb County-Shelby County-AL
147,Cobb County-Seminole County-FL-1516,"Seminole County, FL",1516,2015,2016,96,3946000,82,2948000,14,998000,Cobb County,Cobb County-Seminole County-FL
148,Cobb County-Bexar County-TX-1516,"Bexar County, TX",1516,2015,2016,85,2912000,111,3259000,-26,-347000,Cobb County,Cobb County-Bexar County-TX
149,Cobb County-Lee County-FL-1516,"Lee County, FL",1516,2015,2016,86,2090000,82,4266000,4,-2176000,Cobb County,Cobb County-Lee County-FL
150,Cobb County-Polk County-GA-1516,"Polk County, GA",1516,2015,2016,82,1454000,101,1955000,-19,-501000,Cobb County,Cobb County-Polk County-GA
151,Cobb County-Collin County-TX-1516,"Collin County, TX",1516,2015,2016,95,3408000,117,5056000,-22,-1648000,Cobb County,Cobb County-Collin County-TX
152,Cobb County-Santa Clara County-CA-1516,"Santa Clara County, CA",1516,2015,2016,86,5157000,96,7645000,-10,-2488000,Cobb County,Cobb County-Santa Clara County-CA
153,Cobb County-Pickens County-GA-1516,"Pickens County, GA",1516,2015,2016,73,2642000,138,8266000,-65,-5624000,Cobb County,Cobb County-Pickens County-GA
154,Cobb County-Hennepin County-MN-1516,"Hennepin County, MN",1516,2015,2016,81,4242000,68,4110000,13,132000,Cobb County,Cobb County-Hennepin County-MN
155,Cobb County-Columbia County-GA-1516,"Columbia County, GA",1516,2015,2016,82,4088000,96,3228000,-14,860000,Cobb County,Cobb County-Columbia County-GA
156,Cobb County-Orleans Parish-LA-1516,"Orleans Parish, LA",1516,2015,2016,71,1351000,68,1074000,3,277000,Cobb County,Cobb County-Orleans Parish-LA
157,Cobb County-Lee County-AL-1516,"Lee County, AL",1516,2015,2016,69,1902000,50,1280000,19,622000,Cobb County,Cobb County-Lee County-AL
158,Cobb County-Hartford County-CT-1516,"Hartford County, CT",1516,2015,2016,77,2955000,53,1782000,24,1173000,Cobb County,Cobb County-Hartford County-CT
159,Cobb County-Walton County-GA-1516,"Walton County, GA",1516,2015,2016,60,1815000,77,1622000,-17,193000,Cobb County,Cobb County-Walton County-GA
160,Cobb County-East Baton Rouge Parish-LA-1516,"East Baton Rouge Parish, LA",1516,2015,2016,76,2015000,41,683000,35,1332000,Cobb County,Cobb County-East Baton Rouge Parish-LA
161,Cobb County-St. Johns County-FL-1516,"St. Johns County, FL",1516,2015,2016,91,5738000,105,7832000,-14,-2094000,Cobb County,Cobb County-St. Johns County-FL
162,Cobb County-Volusia County-FL-1516,"Volusia County, FL",1516,2015,2016,68,1216000,80,2047000,-12,-831000,Cobb County,Cobb County-Volusia County-FL
163,Cobb County-DuPage County-IL-1516,"DuPage County, IL",1516,2015,2016,100,7516000,59,2400000,41,5116000,Cobb County,Cobb County-DuPage County-IL
164,Cobb County-Virginia Beach city-VA-1516,"Virginia Beach city, VA",1516,2015,2016,92,2624000,43,762000,49,1862000,Cobb County,Cobb County-Virginia Beach city-VA
165,Cobb County-Mobile County-AL-1516,"Mobile County, AL",1516,2015,2016,66,1220000,68,1207000,-2,13000,Cobb County,Cobb County-Mobile County-AL
166,Cobb County-Fairfield County-CT-1516,"Fairfield County, CT",1516,2015,2016,71,4389000,44,2452000,27,1937000,Cobb County,Cobb County-Fairfield County-CT
167,Cobb County-Whitfield County-GA-1516,"Whitfield County, GA",1516,2015,2016,68,1998000,84,1452000,-16,546000,Cobb County,Cobb County-Whitfield County-GA
168,Cobb County-Bergen County-NJ-1516,"Bergen County, NJ",1516,2015,2016,87,6175000,42,2299000,45,3876000,Cobb County,Cobb County-Bergen County-NJ
169,Cobb County-Arapahoe County-CO-1516,"Arapahoe County, CO",1516,2015,2016,85,2328000,48,1686000,37,642000,Cobb County,Cobb County-Arapahoe County-CO
170,Cobb County-District of Columbia-DC-1516,"District of Columbia, DC",1516,2015,2016,59,2398000,62,3169000,-3,-771000,Cobb County,Cobb County-District of Columbia-DC
171,Cobb County-Pasco County-FL-1516,"Pasco County, FL",1516,2015,2016,76,3551000,64,1171000,12,2380000,Cobb County,Cobb County-Pasco County-FL
172,Cobb County-Alameda County-CA-1516,"Alameda County, CA",1516,2015,2016,55,1949000,71,3877000,-16,-1928000,Cobb County,Cobb County-Alameda County-CA
173,Cobb County-Denver County-CO-1516,"Denver County, CO",1516,2015,2016,57,2175000,88,4879000,-31,-2704000,Cobb County,Cobb County-Denver County-CO
174,Cobb County-Buncombe County-NC-1516,"Buncombe County, NC",1516,2015,2016,54,1752000,57,2335000,-3,-583000,Cobb County,Cobb County-Buncombe County-NC
175,Cobb County-Cumberland County-NC-1516,"Cumberland County, NC",1516,2015,2016,74,1600000,66,1055000,8,545000,Cobb County,Cobb County-Cumberland County-NC
176,Cobb County-Glynn County-GA-1516,"Glynn County, GA",1516,2015,2016,55,1620000,61,2533000,-6,-913000,Cobb County,Cobb County-Glynn County-GA
